GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012
0500000US41001,41001,"Baker County, Oregon",16134,16134,16093,16040,15909
0500000US41003,41003,"Benton County, Oregon",85579,85581,85531,86006,86430
0500000US41005,41005,"Clackamas County, Oregon",375992,375992,377001,379984,383857
0500000US41007,41007,"Clatsop County, Oregon",37039,37039,37073,37171,37301
0500000US41009,41009,"Columbia County, Oregon",49351,49351,49339,49357,49286
0500000US41011,41011,"Coos County, Oregon",63043,63043,63053,62795,62534
0500000US41013,41013,"Crook County, Oregon",20978,20978,20896,20662,20729
0500000US41015,41015,"Curry County, Oregon",22364,22364,22364,22462,22248
0500000US41017,41017,"Deschutes County, Oregon",157733,157733,157895,160083,162277
0500000US41019,41019,"Douglas County, Oregon",107667,107667,107696,107400,107164
0500000US41021,41021,"Gilliam County, Oregon",1871,1871,1871,1953,1953
0500000US41023,41023,"Grant County, Oregon",7445,7445,7452,7410,7317
0500000US41025,41025,"Harney County, Oregon",7422,7422,7409,7368,7212
0500000US41027,41027,"Hood River County, Oregon",22346,22346,22435,22414,22584
0500000US41029,41029,"Jackson County, Oregon",203206,203206,203474,204718,206412
0500000US41031,41031,"Jefferson County, Oregon",21720,21720,21680,21686,21749
0500000US41033,41033,"Josephine County, Oregon",82713,82713,82865,82680,82930
0500000US41035,41035,"Klamath County, Oregon",66380,66380,66349,66296,65912
0500000US41037,41037,"Lake County, Oregon",7895,7895,7875,7920,7771
0500000US41039,41039,"Lane County, Oregon",351715,351715,351921,353481,354542
0500000US41041,41041,"Lincoln County, Oregon",46034,46032,46022,45885,46151
0500000US41043,41043,"Linn County, Oregon",116672,116672,116894,118135,118360
0500000US41045,41045,"Malheur County, Oregon",31313,31312,31322,30757,30630
0500000US41047,41047,"Marion County, Oregon",315335,315335,316025,317826,319985
0500000US41049,41049,"Morrow County, Oregon",11173,11173,11202,11181,11244
0500000US41051,41051,"Multnomah County, Oregon",735334,735334,737492,748091,759256
0500000US41053,41053,"Polk County, Oregon",75403,75403,75612,75996,76353
0500000US41055,41055,"Sherman County, Oregon",1765,1765,1770,1734,1732
0500000US41057,41057,"Tillamook County, Oregon",25250,25250,25265,25389,25287
0500000US41059,41059,"Umatilla County, Oregon",75889,75889,76054,76668,76820
0500000US41061,41061,"Union County, Oregon",25748,25748,25761,25775,25759
0500000US41063,41063,"Wallowa County, Oregon",7008,7008,7025,6995,6821
0500000US41065,41065,"Wasco County, Oregon",25213,25213,25254,25228,25487
0500000US41067,41067,"Washington County, Oregon",529710,529710,531440,539464,547672
0500000US41069,41069,"Wheeler County, Oregon",1441,1441,1447,1419,1424
0500000US41071,41071,"Yamhill County, Oregon",99193,99193,99355,99800,100255
